protein_ID	InterproScan
G_49810_0_26_Limosilactobacillus_reuteri	Aldo/keto reductase family, NADP-dependent oxidoreductase domain, -, NADP-dependent oxidoreductase domain superfamily, NADH-SPECIFIC METHYLGLYOXAL REDUCTASE-RELATED, OXIDOREDUCTASE YDHF, NAD(P)-linked oxidoreductase, Aldo-keto reductase signature, Aldo-keto reductase
G_49852_1_61_Limosilactobacillus_reuteri	Phage integrase family, Integrase, catalytic domain, Intergrase catalytic core, Integrase-like, catalytic domain superfamily, INTEGRASE/RECOMBINASE YOEC-RELATED, -, PHAGE INTEGRASE-RELATED, DNA breaking-rejoining enzymes, DNA breaking-rejoining enzyme, catalytic core, Tyrosine recombinase domain profile.
G_105661_0_29_Staphylococcus_aureus	lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, Coil, -
G_105570_0_11_Staphylococcus_aureus	lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, Coil, -
G_105709_0_9_Staphylococcus_aureus	lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, Coil, -
G_105545_0_22_Staphylococcus_aureus	lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, Coil, -
G_50021_0_15_Limosilactobacillus_reuteri	Nucleotidyltransferase, Nucleotidyltransferase superfamily, Region found in RelA / SpoT proteins, RelA/SpoT, Beta Polymerase, domain 2
G_50019_0_4_Limosilactobacillus_reuteri	Nucleotidyltransferase, Nucleotidyltransferase superfamily, Region found in RelA / SpoT proteins, RelA/SpoT, Beta Polymerase, domain 2
G_132944_0_7_Staphylococcus_hominis	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_49907_0_8_Limosilactobacillus_reuteri	Coil, -
G_97256_0_57_Loigolactobacillus_backii	-, SHIKIMATE DEHYDROGENASE, Shikimate dehydrogenase family, Shikimate dehydrogenase (NADP(+)) [aroE]., Shikimate dehydrogenase substrate binding domain, Shikimate dehydrogenase substrate binding, N-terminal, BIFUNCTIONAL 3-DEHYDROQUINATE DEHYDRATASE/SHIKIMATE DEHYDROGENASE, CHLOROPLASTIC, Shikimate 5'-dehydrogenase C-terminal domain, SDH, C-terminal, Leucine Dehydrogenase, chain A, domain 1, NAD(P)-binding Rossmann-fold domains, NAD(P)-binding domain superfamily, aroE: shikimate dehydrogenase, Shikimate dehydrogenase, Aminoacid dehydrogenase-like, N-terminal domain, NAD_bind_Shikimate_DH
G_100627_0_20_Ruminococcus_sp._AF21-3	-, Rhomboid-like superfamily, Rhomboid-like, Rhomboid family, Peptidase S54, rhomboid domain, PRESENILINS-ASSOCIATED RHOMBOID-LIKE PROTEIN, MITOCHONDRIAL, RHOMBOID PROTEASE
G_49794_1_1_Limosilactobacillus_reuteri	Protein kinases ATP-binding region signature., Protein kinase, ATP binding site, DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_49593_1_22_Limosilactobacillus_coleohominis	RPI_A, Ribose 5-phosphate isomerase, type A, -, RIBOSE-5-PHOSPHATE ISOMERASE 3, CHLOROPLASTIC-RELATED, rpiA: ribose 5-phosphate isomerase A, Ribose-5-phosphate isomerase A [rpiA]., Ribose-5-phosphate isomerase, type A, subgroup, NagB/RpiA/CoA transferase-like, NagB/RpiA transferase-like, D-ribose-5-phosphate isomerase (RpiA), lid domain, Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
G_100627_0_25_Ruminococcus_sp._AF21-3	Coil, -, consensus disorder prediction, Family of unknown function (DUF5702), Protein of unknown function DUF5702
G_50021_0_19_Limosilactobacillus_reuteri	Coil, -
G_50019_0_8_Limosilactobacillus_reuteri	Coil, -
G_131395_0_22_Staphylococcus_epidermidis	DNA ADENINE METHYLASE, D12 class N6 adenine-specific DNA methyltransferase, S-adenosyl-L-methionine-dependent methyltransferases, S-adenosyl-L-methionine-dependent methyltransferase, M_m6A_EcoRV, Adenine modification methylase, M.EcoRV-type, -, Vaccinia Virus protein VP39, dam: DNA adenine methylase, Adenine-specific methyltransferase, domain 2, D12 class N6 adenine-specific DNA methyltransferase signature, N-6 Adenine-specific DNA methylases signature., DNA methylase, N-6 adenine-specific, conserved site
G_50090_0_27_Limosilactobacillus_reuteri	S1 RNA binding domain, S1 domain, -, Nucleic acid-binding proteins, Nucleic acid-binding, OB-fold, consensus disorder prediction, 30S RIBOSOMAL PROTEIN S1, S1 domain profile., S1_6, RNA-binding domain, S1
G_6710_0_26_Blautia_obeum	Coil, -, P-loop containing nucleoside triphosphate hydrolases, P-loop containing nucleoside triphosphate hydrolase
G_97256_0_54_Loigolactobacillus_backii	Prephenate dehydratase, -, ACT_CM-PDT, Periplasmic binding protein-like II, Chor_mut_pdt_Ppr, Bifunctional P-protein, chorismate mutase/prephenate dehydratase, PREPHENATE DEHYDRATASE-RELATED, ACT-like, ACT-like domain, ACT domain profile., ACT domain, Prephenate dehydratase domain profile., PREPHENATE DEHYDRATASE  P PROTEIN
G_21819_0_11_Clostridium_sp._SY8519	Actin-like ATPase domain, ATPase, nucleotide binding domain, TYPE III PANTOTHENATE KINASE, Type III pantothenate kinase, baf: pantothenate kinase, type III, NBD_sugar-kinase_HSP70_actin, -, Type III pantothenate kinase [coaX].
G_49593_1_8_Limosilactobacillus_coleohominis	consensus disorder prediction, -
G_49810_0_15_Limosilactobacillus_reuteri	Glucose/ribitol dehydrogenase family signature, Short-chain dehydrogenase/reductase SDR, DEHYDROGENASES, SHORT CHAIN, -, Short-chain dehydrogenase/reductase (SDR) superfamily signature, Enoyl-(Acyl carrier protein) reductase, Short-chain dehydrogenases/reductases family signature., Short-chain dehydrogenase/reductase, conserved site, SDR_c, NAD(P)-binding Rossmann-fold domains, NAD(P)-binding domain superfamily
