Pipolin_ID	Genome_ID	Pipolin_file	Pipolin_length	Contig_length	Genome_length	Contig_name	Contig_description	Contig_AN	Atts	Number_atts	Coordinates_atts	Length_atts	Integration_site	Genome_AN	Genome_file	Organism	Genus	Specie	AssemblyStatus	BiosampleAN	BiosampleID	Biosource	Coverage	Host	isolation_source	SRA	geo_location	Contamination_status
G_49991_0	G_49991	G_49991_0_v0.minimal.single_record.gbk	62876	2069421	2162818	G_49991_r_1	Limosilactobacillus reuteri strain AN417 chromosome, complete genome	CP054657.1	False	0	NA	NA	NA	GCA_013348825.1	GCA_013348825.1_ASM1334882v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Complete Genome	SAMN15162791	15162791	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'AN417'}], 'Sex': '', 'Isolate': ''}	371.74	Sus scrofa domesticus	NA	NA	South Korea:Jeollabuk-do, Gimje-si	Not_contaminated
G_6710_0	G_6710	G_6710_0_v0.minimal.single_record.gbk	62265	68233	3677077	G_6710_r_31	Blautia obeum strain MSK.18.40 NODE_18_length_68233_cov_305.013, whole genome shotgun sequence	JAAILP010000018.1	False	0	NA	NA	NA	GCA_013299585.1	GCA_013299585.1_ASM1329958v1_genomic.fna	Blautia obeum (firmicutes)	Blautia	Blautia obeum	Contig	SAMN14067796	14067796	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'MSK.18.40'}], 'Sex': '', 'Isolate': ''}	100	Homo sapiens	fecal sample	NA	USA:New York	Not_contaminated
G_45356_0	G_45356	G_45356_0_v0.minimal.single_record.gbk	35686	96539	4402942	G_45356_r_115	Hespellia stercorisuis DSM 15480 genome assembly, contig: EJ65DRAFT_scaffold00009.9, whole genome shotgun sequence	FQZY01000013.1	False	0	NA	NA	NA	GCA_900142165.1	GCA_900142165.1_IMG-taxon_2585428171_annotated_assembly_genomic.fna	Hespellia stercorisuis DSM 15480 (firmicutes)	Hespellia	Hespellia stercorisuis	Scaffold	SAMN02745243	2745243	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'DSM 15480'}], 'Sex': '', 'Isolate': ''}	363	NA	NA	 SRS1657405	USA:near Peoria, IL, USA	Not_contaminated
G_129836_0	G_129836	G_129836_0_v0.minimal.single_record.gbk	8839	8839	2547988	G_129836_r_45	Staphylococcus epidermidis strain SESURV_p0_421 NODE_38_length_8839_cov_447.712_ID_6641, whole genome shotgun sequence	VPTW01000038.1	False	0	NA	NA	NA	GCA_010146995.1	GCA_010146995.1_ASM1014699v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN12507879	12507879	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'SESURV_p0_421'}], 'Sex': '', 'Isolate': ''}	178.03	Homo sapiens	Popliteal_fossa	 SRS5258084	USA	Not_contaminated
G_49904_0	G_49904	G_49904_0_v0.minimal.single_record.gbk	8648	8648	2076455	G_49904_r_90	Limosilactobacillus reuteri strain PTA6_F2 NODE_48_length_8648_cov_93.7728, whole genome shotgun sequence	QKPT01000048.1	False	0	NA	NA	NA	GCA_009389035.1	GCA_009389035.1_ASM938903v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN09280126	9280126	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PTA6_F2'}], 'Sex': '', 'Isolate': ''}	127.637	chicken	chicken feces	NA	Switzerland	Not_contaminated
G_49921_0	G_49921	G_49921_0_v0.minimal.single_record.gbk	17192	17192	2017900	G_49921_r_77	Limosilactobacillus reuteri strain PTA1_C1 NODE_42_length_17192_cov_117.742, whole genome shotgun sequence	QKQM01000042.1	False	0	NA	NA	NA	GCA_009389425.1	GCA_009389425.1_ASM938942v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN09280107	9280107	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PTA1_C1'}], 'Sex': '', 'Isolate': ''}	172.473	chicken	chicken cecum	NA	Switzerland	Not_contaminated
G_119873_0	G_119873	G_119873_0_v0.minimal.single_record.gbk	8546	8546	2934410	G_119873_r_39	Staphylococcus aureus strain st2898 genome assembly, contig: ERS073910SCcontig000039, whole genome shotgun sequence	FHEK01000039.1	False	0	NA	NA	NA	GCA_900062905.1	GCA_900062905.1_7564_8_33_genomic.fna	Staphylococcus aureus (firmicutes)	Staphylococcus	Staphylococcus aureus	Contig	SAMEA1464574	994255	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'st2898'}], 'Sex': '', 'Isolate': ''}	100	Homo sapiens	blood	 ERS073910	United Kingdom: England	Not_contaminated
G_129890_0	G_129890	G_129890_0_v0.minimal.single_record.gbk	8839	8839	2544285	G_129890_r_52	Staphylococcus epidermidis strain SESURV_p0_418 NODE_42_length_8839_cov_390.485_ID_6548, whole genome shotgun sequence	VPTT01000042.1	False	0	NA	NA	NA	GCA_010147035.1	GCA_010147035.1_ASM1014703v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN12507876	12507876	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'SESURV_p0_418'}], 'Sex': '', 'Isolate': ''}	154.483	Homo sapiens	Popliteal_fossa	 SRS5258081	USA	Not_contaminated
G_129010_0	G_129010	G_129010_0_v0.minimal.single_record.gbk	11869	11869	2762933	G_129010_r_25	Staphylococcus epidermidis strain SH03_17 NODE_32_length_11869_cov_327.355_ID_63, whole genome shotgun sequence	PHKH01000032.1	False	0	NA	NA	NA	GCA_002799485.1	GCA_002799485.1_ASM279948v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN08095611	8095611	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'SH03_17'}], 'Sex': '', 'Isolate': ''}	77	Homo sapiens	blood	NA	Brazil:Sao Paulo	Not_contaminated
G_50133_0	G_50133	G_50133_0_v0.complete.single_record.gbk	18121	2096356	2483413	G_50133_r_1	Limosilactobacillus reuteri isolate 3632 chromosome	CP065849.1	True	2	['[0:34](-)', '[17746:17780](-)']	[34, 34]	['transfer-messenger RNA, SsrA']	GCA_020978285.1	GCA_020978285.1_ASM2097828v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Chromosome	SAMN16712076	16712076	{'InfraspeciesList': [], 'Sex': '', 'Isolate': '3632'}	162	NA	Lohmann Animal Health	 SRS7886597	Germany: Cuxhaven	Not_contaminated
G_132579_0	G_132579	G_132579_0_v0.minimal.single_record.gbk	8914	8914	2940506	G_132579_r_40	Staphylococcus haemolyticus genome assembly 7067_4#90, scaffold ERS067546.7067_4_90.40, whole genome shotgun sequence	CUFB01000040.1	False	0	NA	NA	NA	GCA_001237405.1	GCA_001237405.1_7067_4_90_genomic.fna	Staphylococcus haemolyticus (firmicutes)	Staphylococcus	Staphylococcus haemolyticus	Scaffold	SAMEA1035045	788377	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '51-15'}], 'Sex': '', 'Isolate': ''}	99	Homo sapiens	blood	 ERS067546	Norway	Not_contaminated
G_131161_0	G_131161	G_131161_0_v0.minimal.single_record.gbk	8812	8812	2488936	G_131161_p_2	Staphylococcus epidermidis strain HD104-2 plasmid pHD104-2_2, complete sequence	CP053009.1	False	0	NA	NA	NA	GCA_016859455.1	GCA_016859455.1_ASM1685945v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Complete Genome	SAMN14734458	14734458	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'HD104-2'}], 'Sex': '', 'Isolate': ''}	43	Homo sapiens	nose; prosthetic joint infection	NA	Germany: Hamburg	Not_contaminated
