query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
G_130191_0_1_Staphylococcus_epidermidis	203123.OEOE_0687	2.35e-12	66.6	COG1961@1|root,COG1961@2|Bacteria,1UY4S@1239|Firmicutes,4HD5D@91061|Bacilli	91061|Bacilli	L	DNA-invertase Bin3	-	-	-	-	-	-	-	-	-	-	-	-	HTH_7,Resolvase
G_130191_0_8_Staphylococcus_epidermidis	1194526.A284_09350	5.41e-24	93.2	29H7I@1|root,30453@2|Bacteria,1TW1P@1239|Firmicutes,4I4R1@91061|Bacilli,4H05T@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_130191_0_10_Staphylococcus_epidermidis	1000570.HMPREF9966_0767	2.37e-30	115.0	COG1961@1|root,COG1961@2|Bacteria,1UY4S@1239|Firmicutes,4HD5D@91061|Bacilli,42EIT@671232|Streptococcus anginosus group	91061|Bacilli	L	Homeodomain-like domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_7,Resolvase
G_129221_0_3_Staphylococcus_epidermidis	1194526.A284_11640	1.3e-60	191.0	29I65@1|root,3056Y@2|Bacteria,1TXTN@1239|Firmicutes,4I73N@91061|Bacilli,4GZX4@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	HTH_11
G_129221_0_6_Staphylococcus_epidermidis	1194526.A284_09350	5.41e-24	93.2	29H7I@1|root,30453@2|Bacteria,1TW1P@1239|Firmicutes,4I4R1@91061|Bacilli,4H05T@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_129221_0_8_Staphylococcus_epidermidis	1201292.DR75_2486	2.06e-40	143.0	COG1961@1|root,COG1961@2|Bacteria,1UY4S@1239|Firmicutes,4HD5D@91061|Bacilli,4B380@81852|Enterococcaceae	91061|Bacilli	L	Resolvase, N terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_7,Resolvase
G_49955_0_2_Limosilactobacillus_reuteri	435837.HMPREF0798_01054	1.12e-12	73.2	COG2944@1|root,COG2944@2|Bacteria,1UIZ9@1239|Firmicutes,4HR4Y@91061|Bacilli,4H0A3@90964|Staphylococcaceae	91061|Bacilli	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	-	-	-	-	-	HTH_19,HTH_3
G_49955_0_7_Limosilactobacillus_reuteri	1033837.WANG_0629	1e-35	123.0	COG4115@1|root,COG4115@2|Bacteria,1VAM5@1239|Firmicutes,4HRX3@91061|Bacilli,3F86X@33958|Lactobacillaceae	91061|Bacilli	S	YoeB-like toxin of bacterial type II toxin-antitoxin system	-	-	-	-	-	-	-	-	-	-	-	-	YoeB_toxin
G_49955_0_8_Limosilactobacillus_reuteri	1033837.WANG_0630	7.15e-38	128.0	COG2161@1|root,COG2161@2|Bacteria,1VEE5@1239|Firmicutes,4HP02@91061|Bacilli,3F88Y@33958|Lactobacillaceae	91061|Bacilli	D	Antitoxin component of a toxin-antitoxin (TA) module	-	-	-	-	-	-	-	-	-	-	-	-	PhdYeFM_antitox
G_49955_0_9_Limosilactobacillus_reuteri	349123.Lreu23DRAFT_5061	9.41e-34	118.0	29PXG@1|root,30AVV@2|Bacteria,1U762@1239|Firmicutes,4IH0U@91061|Bacilli,3F90X@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_49955_0_13_Limosilactobacillus_reuteri	349123.Lreu23DRAFT_4487	7.36e-21	87.4	COG1396@1|root,COG1396@2|Bacteria,1V3D7@1239|Firmicutes,4IGD5@91061|Bacilli,3F83A@33958|Lactobacillaceae	91061|Bacilli	K	Cro/C1-type HTH DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
G_136176_0_4_Contaminated	1231377.C426_2015	7.19e-41	145.0	COG1961@1|root,COG1961@2|Bacteria,1UYJG@1239|Firmicutes,4HFDN@91061|Bacilli,1YCQ6@1357|Lactococcus	91061|Bacilli	L	Resolvase, N terminal domain	tnpR	-	-	-	-	-	-	-	-	-	-	-	HTH_23,HTH_7,Resolvase
G_100718_0_1_Ruminococcus_sp._OM05-10BH	1232452.BAIB02000020_gene2724	2.49e-127	366.0	COG0860@1|root,COG0860@2|Bacteria,1TQ74@1239|Firmicutes,24FT2@186801|Clostridia,268Q8@186813|unclassified Clostridiales	186801|Clostridia	M	Ami_3	cwlD	-	3.5.1.28	ko:K01448	ko01503,map01503	M00727	R04112	RC00064,RC00141	ko00000,ko00001,ko00002,ko01000,ko01011,ko03036	-	-	-	Amidase_3
G_100718_0_2_Ruminococcus_sp._OM05-10BH	1232452.BAIB02000020_gene2723	0.0	901.0	COG0009@1|root,COG0394@1|root,COG0009@2|Bacteria,COG0394@2|Bacteria,1TP1I@1239|Firmicutes,248HS@186801|Clostridia,268BC@186813|unclassified Clostridiales	186801|Clostridia	J	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine	sua	-	2.7.7.87	ko:K07566	-	-	R10463	RC00745	ko00000,ko01000,ko03009,ko03016	-	-	-	SUA5,Sua5_yciO_yrdC
G_100718_0_3_Ruminococcus_sp._OM05-10BH	1232452.BAIB02000020_gene2722	2.09e-137	389.0	COG0035@1|root,COG0035@2|Bacteria,1TPMT@1239|Firmicutes,248FV@186801|Clostridia,2689H@186813|unclassified Clostridiales	186801|Clostridia	F	Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate	upp	-	2.4.2.9	ko:K00761	ko00240,ko01100,map00240,map01100	-	R00966	RC00063	ko00000,ko00001,ko01000	-	-	-	UPRTase
G_100718_0_4_Ruminococcus_sp._OM05-10BH	1232452.BAIB02000020_gene2721	1.05e-113	326.0	COG2131@1|root,COG2131@2|Bacteria,1V3PU@1239|Firmicutes,24HF0@186801|Clostridia,26A0Q@186813|unclassified Clostridiales	186801|Clostridia	F	MafB19-like deaminase	comEB	-	3.5.4.12	ko:K01493	ko00240,ko01100,map00240,map01100	M00429	R01663	RC00074	ko00000,ko00001,ko00002,ko01000,ko02044	-	-	-	dCMP_cyt_deam_1
G_100718_0_5_Ruminococcus_sp._OM05-10BH	500632.CLONEX_00792	5.36e-131	379.0	COG0583@1|root,COG0583@2|Bacteria,1TRVX@1239|Firmicutes,24B1W@186801|Clostridia	186801|Clostridia	K	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
